species_pair,phylogeny,group,total,positive,negative
226_2-45_1,2.307158437,IBD,23,0,23
226_2-45_1,2.307158437,non-IBD,229,0,229
226_2-66_5,1.8495059899999995,IBD,25,0,25
226_2-66_5,1.8495059899999995,non-IBD,167,0,167
228_1-229_3,0.2348490529999995,IBD,30,0,30
228_1-229_3,0.2348490529999995,non-IBD,26,0,26
228_1-338_1,1.887000186,IBD,96,44,52
228_1-338_1,1.887000186,non-IBD,28,0,28
228_1-48_2,2.35837711,IBD,24,1,23
228_1-48_2,2.35837711,non-IBD,11,0,11
228_1-66_5,1.969879287,IBD,18,0,18
228_1-66_5,1.969879287,non-IBD,47,0,47
228_2-66_5,1.967850455,IBD,19,0,19
228_2-66_5,1.967850455,non-IBD,18,0,18
229_3-233_1,0.2154876549999995,IBD,26,0,26
229_3-233_1,0.2154876549999995,non-IBD,52,3,49
229_3-233_3,0.2167481969999998,IBD,144,0,144
229_3-233_3,0.2167481969999998,non-IBD,153,2,151
229_3-26_2,2.430523427,IBD,135,0,135
229_3-26_2,2.430523427,non-IBD,205,0,205
229_3-318_56,1.7017494579999994,IBD,26,0,26
229_3-318_56,1.7017494579999994,non-IBD,294,0,294
229_3-326_1,1.7514051439999996,IBD,82,0,82
229_3-326_1,1.7514051439999996,non-IBD,121,0,121
229_3-32_1,2.3147861079999994,IBD,11,0,11
229_3-32_1,2.3147861079999994,non-IBD,118,0,118
229_3-330_1,1.853725593,IBD,31,0,31
229_3-330_1,1.853725593,non-IBD,52,0,52
229_3-334_1,1.835197408,IBD,18,0,18
229_3-334_1,1.835197408,non-IBD,305,0,305
229_3-335_1,1.832400911,IBD,397,0,397
229_3-335_1,1.832400911,non-IBD,2263,12,2251
229_3-338_1,1.8665666929999991,IBD,592,19,573
229_3-338_1,1.8665666929999991,non-IBD,1509,0,1509
229_3-42_2,2.31526034,IBD,122,0,122
229_3-42_2,2.31526034,non-IBD,91,0,91
229_3-44_1,2.326921487999999,IBD,76,0,76
229_3-44_1,2.326921487999999,non-IBD,70,0,70
229_3-44_3,2.327631928,IBD,71,0,71
229_3-44_3,2.327631928,non-IBD,128,0,128
229_3-45_1,2.407098240999999,IBD,986,0,986
229_3-45_1,2.407098240999999,non-IBD,360,0,360
229_3-46_1,2.275721616999999,IBD,41,0,41
229_3-46_1,2.275721616999999,non-IBD,295,0,295
229_3-48_2,2.337943616999999,IBD,131,0,131
229_3-48_2,2.337943616999999,non-IBD,542,1,541
229_3-52_1,2.340019605,IBD,13,0,13
229_3-52_1,2.340019605,non-IBD,21,0,21
229_3-66_5,1.949445794,IBD,271,0,271
229_3-66_5,1.949445794,non-IBD,832,0,832
229_3-90_1,0.6380705589999995,IBD,30,0,30
229_3-90_1,0.6380705589999995,non-IBD,72,0,72
229_3-96_1,0.7980964069999996,IBD,59,0,59
229_3-96_1,0.7980964069999996,non-IBD,121,0,121
229_3-97_1,0.8302444879999995,IBD,28,0,28
229_3-97_1,0.8302444879999995,non-IBD,151,0,151
233_1-338_1,1.867638788,IBD,69,0,69
233_1-338_1,1.867638788,non-IBD,30,0,30
233_1-45_1,2.408170335999999,IBD,70,0,70
233_1-45_1,2.408170335999999,non-IBD,11,0,11
233_1-48_2,2.339015712,IBD,22,0,22
233_1-48_2,2.339015712,non-IBD,40,0,40
233_1-66_5,1.950517889,IBD,16,0,16
233_1-66_5,1.950517889,non-IBD,54,0,54
233_3-26_2,2.432856064,IBD,46,0,46
233_3-26_2,2.432856064,non-IBD,21,0,21
233_3-335_1,1.834733548,IBD,28,0,28
233_3-335_1,1.834733548,non-IBD,242,0,242
233_3-338_1,1.86889933,IBD,246,48,198
233_3-338_1,1.86889933,non-IBD,120,0,120
233_3-42_2,2.317592977,IBD,43,0,43
233_3-42_2,2.317592977,non-IBD,13,0,13
233_3-44_3,2.329964565,IBD,26,0,26
233_3-44_3,2.329964565,non-IBD,13,0,13
233_3-45_1,2.409430878,IBD,339,0,339
233_3-45_1,2.409430878,non-IBD,23,0,23
233_3-46_1,2.278054254,IBD,12,0,12
233_3-46_1,2.278054254,non-IBD,22,0,22
233_3-48_2,2.3402762539999995,IBD,68,1,67
233_3-48_2,2.3402762539999995,non-IBD,50,0,50
233_3-66_5,1.951778431,IBD,93,0,93
233_3-66_5,1.951778431,non-IBD,67,0,67
234_1-335_1,1.8278702609999995,IBD,54,0,54
234_1-335_1,1.8278702609999995,non-IBD,16,0,16
234_2-338_1,1.858681455,IBD,24,0,24
234_2-338_1,1.858681455,non-IBD,18,0,18
238_3-32_1,2.295229734999999,IBD,51,0,51
238_3-32_1,2.295229734999999,non-IBD,21,0,21
238_3-336_1,1.8308330859999995,IBD,60,0,60
238_3-336_1,1.8308330859999995,non-IBD,21,0,21
238_3-43_1,2.302292977,IBD,18,0,18
238_3-43_1,2.302292977,non-IBD,21,0,21
238_3-44_3,2.3080755549999994,IBD,96,0,96
238_3-44_3,2.3080755549999994,non-IBD,21,0,21
238_3-45_1,2.387541867999999,IBD,596,0,596
238_3-45_1,2.387541867999999,non-IBD,24,0,24
238_3-66_5,1.9298894209999995,IBD,346,0,346
238_3-66_5,1.9298894209999995,non-IBD,106,0,106
239_1-66_5,1.9298925609999995,IBD,42,0,42
239_1-66_5,1.9298925609999995,non-IBD,13,0,13
240_1-335_1,1.874376056,IBD,16,0,16
240_1-335_1,1.874376056,non-IBD,268,0,268
240_1-338_1,1.908541838,IBD,16,0,16
240_1-338_1,1.908541838,non-IBD,133,0,133
240_1-45_1,2.449073385999999,IBD,19,0,19
240_1-45_1,2.449073385999999,non-IBD,93,0,93
240_1-66_5,1.991420939,IBD,31,0,31
240_1-66_5,1.991420939,non-IBD,87,0,87
252_1-335_1,1.5531333069999995,IBD,26,0,26
252_1-335_1,1.5531333069999995,non-IBD,61,0,61
252_1-45_1,2.127830637,IBD,36,0,36
252_1-45_1,2.127830637,non-IBD,37,0,37
252_1-66_5,1.67017819,IBD,24,0,24
252_1-66_5,1.67017819,non-IBD,45,0,45
267_1-335_1,1.827533756,IBD,87,0,87
267_1-335_1,1.827533756,non-IBD,17,0,17
268_1-66_5,1.9624474569999992,IBD,17,0,17
268_1-66_5,1.9624474569999992,non-IBD,37,0,37
269_1-335_1,1.8404988229999992,IBD,44,0,44
269_1-335_1,1.8404988229999992,non-IBD,51,0,51
26_2-283_1,2.318840725,IBD,12,0,12
26_2-283_1,2.318840725,non-IBD,15,0,15
26_2-326_1,1.930340381,IBD,24,0,24
26_2-326_1,1.930340381,non-IBD,120,0,120
26_2-330_1,2.03266083,IBD,20,0,20
26_2-330_1,2.03266083,non-IBD,58,0,58
26_2-334_1,2.014132645,IBD,45,0,45
26_2-334_1,2.014132645,non-IBD,94,0,94
26_2-335_1,2.011336148,IBD,698,0,698
26_2-335_1,2.011336148,non-IBD,2113,0,2113
26_2-338_1,2.0455019299999995,IBD,807,0,807
26_2-338_1,2.0455019299999995,non-IBD,1505,0,1505
26_2-42_2,0.490794003,IBD,17,6,11
26_2-42_2,0.490794003,non-IBD,103,21,82
26_2-44_1,0.5024551509999999,IBD,125,22,103
26_2-44_1,0.5024551509999999,non-IBD,37,13,24
26_2-44_3,0.5031655909999997,IBD,26,5,21
26_2-44_3,0.5031655909999997,non-IBD,127,36,91
26_2-45_1,0.1778537720000002,IBD,1008,339,669
26_2-45_1,0.1778537720000002,non-IBD,743,426,317
26_2-46_1,0.4512552799999998,IBD,71,4,67
26_2-46_1,0.4512552799999998,non-IBD,238,102,136
26_2-48_2,0.5134772799999996,IBD,175,68,107
26_2-48_2,0.5134772799999996,non-IBD,479,203,276
26_2-66_5,1.924133625,IBD,59,0,59
26_2-66_5,1.924133625,non-IBD,1139,0,1139
26_2-96_1,2.554473698,IBD,41,0,41
26_2-96_1,2.554473698,non-IBD,72,0,72
26_2-97_1,2.5866217789999992,IBD,66,0,66
26_2-97_1,2.5866217789999992,non-IBD,56,0,56
283_1-338_1,1.7548839909999996,IBD,120,0,120
283_1-338_1,1.7548839909999996,non-IBD,198,0,198
283_1-45_1,2.2954155389999995,IBD,112,0,112
