species_pair,phylogeny,group,total,HGT,non_HGT
13_1-97_1,2.180864104,within,25,0,25
13_1-97_1,2.180864104,between,9159,0,9159
142_1-335_1,1.8386061839999992,within,86,0,86
142_1-335_1,1.8386061839999992,between,46594,34,46560
142_1-338_1,1.872771966,within,76,7,69
142_1-338_1,1.872771966,between,30596,6,30590
144_1-335_1,1.892517217,within,64,0,64
144_1-335_1,1.892517217,between,52451,0,52451
144_1-338_1,1.9266829990000005,within,63,0,63
144_1-338_1,1.9266829990000005,between,34443,1,34442
144_1-66_5,2.0095621,within,39,0,39
144_1-66_5,2.0095621,between,22884,0,22884
147_1-238_3,1.4782528209999994,within,21,0,21
147_1-238_3,1.4782528209999994,between,107,0,107
149_1-335_1,1.8150418739999996,within,30,0,30
149_1-335_1,1.8150418739999996,between,40815,0,40815
149_1-338_1,1.8492076559999997,within,29,0,29
149_1-338_1,1.8492076559999997,between,26809,0,26809
14_1-20_1,0.9637761309999996,within,25,18,7
14_1-20_1,0.9637761309999996,between,11045,1936,9109
14_1-219_1,2.0582289019999993,within,36,0,36
14_1-219_1,2.0582289019999993,between,6114,0,6114
14_1-229_3,2.1778404129999993,within,91,0,91
14_1-229_3,2.1778404129999993,between,40253,0,40253
14_1-233_3,2.1801730499999996,within,23,0,23
14_1-233_3,2.1801730499999996,between,5389,0,5389
14_1-238_3,2.1582840399999994,within,75,0,75
14_1-238_3,2.1582840399999994,between,5173,0,5173
14_1-26_2,0.976254246,within,61,10,51
14_1-26_2,0.976254246,between,39217,5649,33568
14_1-318_56,1.628001681,within,43,0,43
14_1-318_56,1.628001681,between,35135,0,35135
14_1-326_1,1.677657367,within,23,0,23
14_1-326_1,1.677657367,between,21297,0,21297
14_1-32_1,0.8605169269999999,within,53,3,50
14_1-32_1,0.8605169269999999,between,40455,2385,38070
14_1-334_1,1.7614496310000003,within,53,0,53
14_1-334_1,1.7614496310000003,between,33567,0,33567
14_1-335_1,1.758653134,within,832,0,832
14_1-335_1,1.758653134,between,477638,0,477638
14_1-336_1,1.776641682,within,31,0,31
14_1-336_1,1.776641682,between,10793,0,10793
14_1-338_1,1.7928189159999997,within,521,0,521
14_1-338_1,1.7928189159999997,between,313867,0,313867
14_1-39_5,0.8702915129999997,within,24,6,18
14_1-39_5,0.8702915129999997,between,16294,2079,14215
14_1-40_1,0.8671024009999999,within,23,7,16
14_1-40_1,0.8671024009999999,between,2437,420,2017
14_1-42_2,0.8609911590000001,within,65,9,56
14_1-42_2,0.8609911590000001,between,23961,2230,21731
14_1-43_1,0.867580169,within,41,13,28
14_1-43_1,0.867580169,between,18163,2714,15449
14_1-44_1,0.8726523069999996,within,38,14,24
14_1-44_1,0.8726523069999996,between,20626,3516,17110
14_1-44_3,0.8733627469999998,within,78,23,55
14_1-44_3,0.8733627469999998,between,42070,5505,36565
14_1-45_1,0.9528290599999996,within,344,44,300
14_1-45_1,0.9528290599999996,between,161688,22184,139504
14_1-46_1,0.8214524359999995,within,112,34,78
14_1-46_1,0.8214524359999995,between,54172,7943,46229
14_1-48_2,0.8836744359999997,within,177,41,136
14_1-48_2,0.8836744359999997,between,92319,16584,75735
14_1-52_1,0.8857504239999998,within,30,9,21
14_1-52_1,0.8857504239999998,between,5546,662,4884
14_1-66_5,1.6714506109999998,within,261,0,261
14_1-66_5,1.6714506109999998,between,208593,0,208593
14_1-96_1,2.301790684,within,38,0,38
14_1-96_1,2.301790684,between,21692,0,21692
14_1-97_1,2.3339387649999996,within,58,0,58
14_1-97_1,2.3339387649999996,between,23476,0,23476
150_1-335_1,1.790398788,within,32,0,32
150_1-335_1,1.790398788,between,64153,0,64153
150_1-338_1,1.8245645699999995,within,41,0,41
