variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_25338	8.37E-02	1.27E-03	1.79E+00		0.0280791	2.896196
group_7682	8.11E-01	1.28E-03	1.38E+00		0.028244	2.892790
group_30952	7.94E-02	1.29E-03	1.50E+00		0.0283519	2.889410
group_10767	5.97E-01	1.29E-03	-1.16E+00		0.0283519	2.889410
Cytidylate kinase-like family protein	8.20E-01	1.30E-03	-1.39E+00		0.028459	2.886057
Alpha-1,3-mannosyltransferase	1.50E-01	1.30E-03	1.18E+00		0.028459	2.886057
group_9908	8.26E-01	1.31E-03	1.54E+00		0.0285652	2.882729
Undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	2.34E-01	1.31E-03	1.17E+00		0.0285652	2.882729
yeiB	2.58E-02	1.32E-03	2.25E+00		0.0287268	2.879426
DUF4423 domain-containing protein	9.66E-02	1.33E-03	1.59E+00		0.0288878	2.876148
group_8618	1.27E-01	1.34E-03	1.33E+00		0.0289915	2.872895
group_29756	1.24E-01	1.34E-03	1.30E+00		0.0289915	2.872895
group_4445	1.59E-01	1.35E-03	-2.03E+00		0.0291511	2.869666
group_33498	3.86E-02	1.36E-03	2.40E+00		0.0292532	2.866461
group_18255	2.15E-01	1.36E-03	1.11E+00		0.0292532	2.866461
group_31240	1.27E-01	1.38E-03	2.02E+00		0.029626	2.860121
group_12529	5.04E-01	1.44E-03	-1.10E+00		0.0308544	2.841638
DUF5071 domain-containing protein	8.58E-01	1.45E-03	1.66E+00		0.0308897	2.838632
TonB-dependent receptor plug domain-containing protein	1.76E-01	1.45E-03	-1.59E+00		0.0308897	2.838632
group_2037	6.14E-01	1.45E-03	-1.12E+00		0.0308897	2.838632
group_18352	7.94E-02	1.46E-03	1.60E+00		0.0310432	2.835647
group_6580	7.30E-02	1.47E-03	1.48E+00		0.0311365	2.832683
group_8159	1.31E-01	1.47E-03	1.22E+00		0.0311365	2.832683
group_3566	3.86E-02	1.52E-03	1.90E+00		0.0321342	2.818156
mlaD	9.70E-01	1.54E-03	-1.97E+00		0.0324952	2.812479
group_19231	3.86E-02	1.55E-03	1.89E+00		0.0325207	2.809668
group_31275	3.86E-02	1.55E-03	1.89E+00		0.0325207	2.809668
group_13940	5.58E-02	1.55E-03	1.72E+00		0.0325207	2.809668
group_19225	8.58E-02	1.58E-03	1.73E+00		0.0329014	2.801343
ADH-N domain-containing protein	8.58E-02	1.58E-03	1.73E+00		0.0329014	2.801343
